Net!KernelAsyncDispatcher_Initialize_Entrypoint	Microsoft.Xna.Framework.KernelReturnCode		ERROR
Net!KernelAsyncDispatcher_WaitForAsyncOperationToFinish_Entrypoint	Microsoft.Xna.Framework.KernelReturnCode	ref:Microsoft.Xna.Framework.ManagedCallType,ref:System.UInt32	ERROR
STORAGE!STORAGE_CreateDecompressionContext	System.IntPtr		unknown
STORAGE!STORAGE_Decompress	System.Int32	System.IntPtr,ptr:System.Void,ref:System.Int32,ptr:System.Void,ref:System.Int32	HANDLE
STORAGE!STORAGE_DestroyDecompressionContext	System.Void	System.IntPtr	unknown
STORAGE!STORAGE_GetStorageLocation	System.UInt32	sb,System.Int32	ERROR
SYSTEM!System_DispatcherUpdate	System.UInt32	ref:System.UInt32	unknown
XINPUT!XInput_GetCaps	Microsoft.Xna.Framework.ErrorCodes	struct:Microsoft.Xna.Framework.PlayerIndex,ref:Microsoft.Xna.Framework.Input.XINPUT_CAPABILITIES	unknown
XINPUT!XInput_GetKeyStroke	Microsoft.Xna.Framework.ErrorCodes	struct:Microsoft.Xna.Framework.PlayerIndex,ref:Microsoft.Xna.Framework.Input.XINPUT_KEYSTROKE	unknown
XINPUT!XInput_GetState	Microsoft.Xna.Framework.ErrorCodes	struct:Microsoft.Xna.Framework.PlayerIndex,ref:Microsoft.Xna.Framework.Input.XINPUT_STATE	unknown
XINPUT!XInput_SetState	Microsoft.Xna.Framework.ErrorCodes	struct:Microsoft.Xna.Framework.PlayerIndex,struct:Microsoft.Xna.Framework.Input.XINPUT_VIBRATION	unknown
D3D!D3D_CreateDeviceHandle	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.PresentationParameters/Settings,struct:Microsoft.Xna.Framework.Graphics.GraphicsProfile	HANDLE
D3D!D3D_CreateDirect3DHandle	System.UInt32	ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/ADAPTER_DESC	unknown
D3D!D3D_Decl_CreateHandle	System.UInt32	System.UInt32,ptr:System.Void,System.UInt32	unknown
D3D!D3D_Decl_ReleaseHandle	System.Void	System.UInt32,System.UInt32	unknown
D3D!D3D_Device_CreateBlendState	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.BlendState/Settings	HANDLE
D3D!D3D_Device_CreateDepthStencilState	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.DepthStencilState/Settings	HANDLE
D3D!D3D_Device_CreateRasterizerState	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.RasterizerState/Settings	HANDLE
D3D!D3D_Device_CreateRenderTarget	System.UInt32	System.UInt32,struct:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/D3D_RENDERTARGET_CREATION_PARAMS,System.UInt32,ref:System.UInt32,ref:System.UInt32	HANDLE
D3D!D3D_Device_CreateSamplerState	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.SamplerState/Settings	HANDLE
D3D!D3D_Device_DrawIndexedPrimitivesUP	System.UInt32	System.UInt32,struct:Microsoft.Xna.Framework.Graphics.PrimitiveType,struct:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/DUIP_PARAMS	unknown
D3D!D3D_Device_DrawPrimitivesUP	System.UInt32	System.UInt32,struct:Microsoft.Xna.Framework.Graphics.PrimitiveType,System.UInt32,ptr:System.Void,System.UInt32,System.UInt32	unknown
D3D!D3D_Device_DrawSprites	System.UInt32	System.UInt32,System.Int32,ptr:System.Void,System.Int32,System.Int32	ERROR
D3D!D3D_Device_GetBackBufferData	System.UInt32	System.UInt32,ptr:System.Void,struct:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/TEXTURE_COPYDATA_INFO,ptr:Microsoft.Xna.Framework.Rectangle	ERROR
D3D!D3D_Device_GetScissorRect	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Rectangle	ERROR
D3D!D3D_Device_Present	System.UInt32	System.UInt32	ERROR
D3D!D3D_Device_ReceivePackets	System.UInt32	System.UInt32,ptr:System.Byte,System.UInt32	ERROR
D3D!D3D_Device_ReleaseBlendState	System.Void	System.UInt32	HANDLE
D3D!D3D_Device_ReleaseDepthStencilState	System.Void	System.UInt32	HANDLE
D3D!D3D_Device_ReleaseHandle	System.Void	System.UInt32	unknown
D3D!D3D_Device_ReleaseRasterizerState	System.Void	System.UInt32	HANDLE
D3D!D3D_Device_ReleaseRenderTarget	System.Void	System.UInt32,System.UInt32	unknown
D3D!D3D_Device_ReleaseSamplerState	System.Void	System.UInt32	HANDLE
D3D!D3D_Device_Reset	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.PresentationParameters/Settings	ERROR
